
   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server
  2026-04-11 01:28:48 /favicon.ico ................................. ~ 0.09ms
  2026-04-11 01:28:50 /api/v1/dashboard/admin ...................... ~ 0.12ms
  2026-04-11 01:28:50 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 01:29:37 /dashboard ................................. ~ 506.91ms
  2026-04-11 01:29:37 /assets/index-wwS51XjL.js .................... ~ 0.06ms
  2026-04-11 01:29:37 /assets/index-B_2Z9jxt.css ................... ~ 0.06ms
  2026-04-11 01:29:37 /api/v1/me ................................... ~ 0.06ms
  2026-04-11 01:29:37 /favicon.ico ................................. ~ 0.78ms
  2026-04-11 01:29:45 /api/v1/payments ........................... ~ 503.19ms
  2026-04-11 01:29:45 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 01:29:46 /favicon.ico ................................. ~ 0.17ms
  2026-04-11 01:30:48 /dashboard ................................... ~ 0.84ms
  2026-04-11 01:30:48 /assets/index-B_2Z9jxt.css ................... ~ 0.07ms
  2026-04-11 01:30:48 /assets/index-wwS51XjL.js .................... ~ 0.42ms
  2026-04-11 01:30:48 /api/v1/me ................................... ~ 0.42ms
  2026-04-11 01:30:48 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 01:30:51 /api/v1/payments ............................. ~ 0.18ms
  2026-04-11 01:30:51 /favicon.ico ............................... ~ 503.92ms
  2026-04-11 01:30:52 /favicon.ico ................................. ~ 0.27ms
  2026-04-11 01:31:37 /dashboard ................................... ~ 1.18ms
  2026-04-11 01:31:37 /assets/index-CZlfhbVH.js .................... ~ 0.10ms
  2026-04-11 01:31:37 /assets/index-LJ3d3OWW.css ................... ~ 1.25ms
  2026-04-11 01:31:37 /api/v1/me ................................... ~ 0.16ms
  2026-04-11 01:31:37 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 01:31:37 /api/v1/admin/stats .......................... ~ 0.16ms
  2026-04-11 01:31:40 /api/v1/admin/settings ..................... ~ 501.69ms
  2026-04-11 01:31:40 /api/v1/admin/rubrics ........................ ~ 0.16ms
  2026-04-11 01:31:42 /api/v1/admin/payments/pending ............. ~ 504.49ms
  2026-04-11 01:31:44 /api/v1/admin/payments/2/approve ............. ~ 0.25ms
  2026-04-11 01:31:44 /api/v1/admin/payments/pending ............... ~ 0.11ms
  2026-04-11 01:31:46 /api/v1/admin/payments/1/approve ............. ~ 0.24ms
  2026-04-11 01:31:46 /api/v1/admin/payments/pending ............... ~ 0.13ms
  2026-04-11 01:31:47 /api/v1/admin/rubrics ........................ ~ 0.27ms
  2026-04-11 01:31:52 /api/v1/admin/settings ..................... ~ 501.22ms
  2026-04-11 01:32:01 /api/v1/admin/stats .......................... ~ 0.15ms
  2026-04-11 01:32:07 /api/v1/payments ............................. ~ 0.59ms
  2026-04-11 01:32:07 /favicon.ico ............................... ~ 500.77ms
  2026-04-11 01:32:08 /api/v1/admin/stats .......................... ~ 0.11ms
  2026-04-11 01:32:08 /favicon.ico ................................. ~ 0.21ms
  2026-04-11 01:33:45 /api/v1/payments ............................. ~ 2.88ms
  2026-04-11 01:33:45 /favicon.ico ................................. ~ 0.16ms
  2026-04-11 01:33:46 /api/v1/admin/stats .......................... ~ 0.13ms
  2026-04-11 01:33:46 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 01:33:47 /api/v1/admin/settings ....................... ~ 0.24ms
  2026-04-11 01:33:54 /api/v1/admin/rubrics ...................... ~ 504.43ms
  2026-04-11 01:33:59 /api/v1/admin/payments/pending ............... ~ 0.26ms
  2026-04-11 01:34:01 /api/v1/admin/stats .......................... ~ 0.15ms
  2026-04-11 01:34:02 /api/v1/admin/settings ....................... ~ 0.27ms
  2026-04-11 01:34:07 /api/v1/admin/rubrics ........................ ~ 0.25ms
  2026-04-11 01:34:09 /api/v1/admin/stats ........................ ~ 503.21ms
  2026-04-11 01:34:11 /api/v1/payments ............................. ~ 0.15ms
  2026-04-11 01:34:11 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 01:34:12 /api/v1/admin/stats .......................... ~ 0.17ms
  2026-04-11 01:34:12 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 01:34:13 /api/v1/admin/rubrics ........................ ~ 0.43ms
  2026-04-11 01:34:14 /api/v1/admin/payments/pending ............... ~ 0.30ms
  2026-04-11 01:34:15 /api/v1/admin/stats .......................... ~ 0.25ms
  2026-04-11 01:34:24 /api/v1/admin/settings ....................... ~ 0.24ms
  2026-04-11 01:34:25 /api/v1/admin/rubrics ...................... ~ 501.51ms
  2026-04-11 01:34:26 /api/v1/admin/payments/pending ............... ~ 0.34ms
  2026-04-11 01:34:27 /api/v1/payments ............................. ~ 0.56ms
  2026-04-11 01:34:27 /favicon.ico ................................. ~ 0.23ms
  2026-04-11 01:34:28 /api/v1/admin/stats .......................... ~ 0.24ms
  2026-04-11 01:34:28 /favicon.ico ................................. ~ 0.11ms
  2026-04-11 01:34:29 /api/v1/admin/settings ....................... ~ 0.26ms
  2026-04-11 01:34:31 /api/v1/admin/rubrics ...................... ~ 501.17ms
  2026-04-11 01:34:32 /api/v1/admin/payments/pending ............... ~ 0.24ms
  2026-04-11 01:34:42 /api/v1/admin/stats .......................... ~ 0.36ms
  2026-04-11 01:34:44 /api/v1/admin/settings ....................... ~ 0.25ms
  2026-04-11 01:34:44 /api/v1/admin/rubrics ...................... ~ 502.52ms
  2026-04-11 01:34:45 /api/v1/admin/payments/pending ............... ~ 0.25ms
  2026-04-11 01:34:47 /api/v1/payments ............................. ~ 0.70ms
  2026-04-11 01:34:47 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 01:34:48 /api/v1/admin/stats .......................... ~ 0.25ms
  2026-04-11 01:34:48 /favicon.ico ................................. ~ 0.11ms
  2026-04-11 01:35:24 /dashboard ................................... ~ 0.52ms
  2026-04-11 01:35:24 /assets/index-CPnd11dn.js .................... ~ 0.07ms
  2026-04-11 01:35:24 /assets/index-DLpw-3gz.css ................... ~ 0.06ms
  2026-04-11 01:35:24 /api/v1/me ................................... ~ 0.06ms
  2026-04-11 01:35:24 /favicon.ico ................................. ~ 0.49ms
  2026-04-11 01:35:24 /api/v1/admin/stats ........................ ~ 502.14ms
  2026-04-11 01:35:29 /api/v1/admin/settings ........................... ~ 1s
  2026-04-11 01:35:32 /api/v1/admin/rubrics ...................... ~ 504.93ms
  2026-04-11 01:35:36 /api/v1/admin/payments/pending ............... ~ 0.27ms
  2026-04-11 01:35:45 /api/v1/admin/stats .......................... ~ 0.25ms
  2026-04-11 01:36:31 /dashboard ................................... ~ 2.70ms
  2026-04-11 01:36:31 /assets/index-DLpw-3gz.css ................... ~ 0.12ms
  2026-04-11 01:36:31 /assets/index-CPnd11dn.js .................... ~ 0.91ms
  2026-04-11 01:36:33 /api/v1/me ................................... ~ 0.29ms
  2026-04-11 01:36:33 /api/v1/dashboard/dosen ...................... ~ 0.13ms
  2026-04-11 01:36:33 /favicon.ico ................................. ~ 2.82ms
  2026-04-11 01:36:35 /api/v1/simulations/latest ................. ~ 505.11ms
  2026-04-11 01:36:35 /favicon.ico ............................... ~ 505.44ms
  2026-04-11 01:36:36 /api/v1/dashboard/dosen ...................... ~ 0.16ms
  2026-04-11 01:36:36 /favicon.ico ................................. ~ 0.08ms
  2026-04-11 01:36:37 /api/v1/simulations/latest ................... ~ 0.16ms
  2026-04-11 01:36:37 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 01:37:06 /dashboard ................................... ~ 0.71ms
  2026-04-11 01:37:06 /assets/index-B55SM_8h.js .................... ~ 0.12ms
  2026-04-11 01:37:06 /assets/index-BZoIMeVD.css ................... ~ 0.10ms
  2026-04-11 01:37:06 /api/v1/me ................................... ~ 0.15ms
  2026-04-11 01:37:07 /favicon.ico ............................... ~ 501.50ms
  2026-04-11 01:37:07 /api/v1/admin/stats .......................... ~ 0.19ms
  2026-04-11 01:37:13 /api/v1/admin/settings ....................... ~ 0.25ms
  2026-04-11 01:37:20 /api/v1/admin/rubrics ........................ ~ 0.20ms
  2026-04-11 01:37:23 /api/v1/admin/payments/pending ............... ~ 0.25ms
  2026-04-11 01:37:25 /api/v1/admin/stats .......................... ~ 0.32ms
  2026-04-11 01:44:23 /dashboard ................................. ~ 505.95ms
  2026-04-11 01:44:23 /assets/index-pz3fUoWC.css ................... ~ 0.08ms
  2026-04-11 01:44:23 /assets/index-CfX2oxeO.js .................... ~ 0.61ms
  2026-04-11 01:44:23 /api/v1/me ................................... ~ 0.06ms
  2026-04-11 01:44:23 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 01:44:23 /api/v1/admin/stats .......................... ~ 0.06ms
  2026-04-11 01:44:25 /api/v1/admin/settings ..................... ~ 504.40ms
  2026-04-11 01:44:35 /api/v1/admin/settings ..................... ~ 501.47ms
  2026-04-11 01:44:40 /api/v1/admin/rubrics ........................ ~ 0.12ms
  2026-04-11 01:44:44 /api/v1/admin/payments/pending ............... ~ 0.19ms
  2026-04-11 01:44:57 /api/v1/admin/stats .......................... ~ 0.66ms
  2026-04-11 01:44:58 /api/v1/admin/settings ....................... ~ 0.13ms
  2026-04-11 01:45:02 /api/v1/admin/rubrics ........................ ~ 0.14ms
  2026-04-11 01:45:03 /api/v1/admin/payments/pending ............... ~ 0.17ms
  2026-04-11 01:45:49 /dashboard ................................... ~ 6.67ms
  2026-04-11 01:45:49 /assets/index-SqVu8V5Q.js .................... ~ 0.16ms
  2026-04-11 01:45:49 /assets/index-BSJNj5r9.css ................... ~ 1.41ms
  2026-04-11 01:45:49 /api/v1/me ................................... ~ 0.10ms
  2026-04-11 01:45:49 /favicon.ico ............................... ~ 504.44ms
  2026-04-11 01:45:49 /api/v1/admin/stats .......................... ~ 0.13ms
  2026-04-11 01:45:55 /api/v1/admin/settings ....................... ~ 0.26ms
  2026-04-11 01:45:57 /api/v1/admin/rubrics ........................ ~ 0.87ms
  2026-04-11 01:45:59 /api/v1/admin/payments/pending ............... ~ 0.25ms
  2026-04-11 01:46:00 /api/v1/admin/users .......................... ~ 0.25ms
  2026-04-11 01:52:42 /dashboard ................................. ~ 506.70ms
  2026-04-11 01:52:42 /assets/index-BSJNj5r9.css ................... ~ 0.19ms
  2026-04-11 01:52:42 /assets/index-SqVu8V5Q.js .................... ~ 0.64ms
  2026-04-11 01:52:42 /api/v1/me ................................... ~ 0.07ms
  2026-04-11 01:52:42 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 01:52:42 /api/v1/admin/stats .......................... ~ 0.06ms
  2026-04-11 01:52:46 /api/v1/admin/settings ..................... ~ 504.05ms
  2026-04-11 01:52:47 /api/v1/admin/rubrics ........................ ~ 0.25ms
  2026-04-11 01:52:47 /api/v1/admin/payments/pending ............... ~ 0.38ms
  2026-04-11 01:52:48 /api/v1/admin/users .......................... ~ 0.21ms
  2026-04-11 01:52:49 /api/v1/payments ........................... ~ 502.07ms
  2026-04-11 01:52:49 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 01:52:51 /payments .................................... ~ 0.12ms
  2026-04-11 01:52:51 /assets/index-SqVu8V5Q.js .................... ~ 0.06ms
  2026-04-11 01:52:51 /assets/index-BSJNj5r9.css ................... ~ 0.05ms
  2026-04-11 01:52:51 /api/v1/me ................................... ~ 0.04ms
  2026-04-11 01:52:51 /favicon.ico ................................. ~ 0.04ms
  2026-04-11 01:52:51 /api/v1/payments ............................. ~ 0.04ms
  2026-04-11 01:52:52 /api/v1/admin/stats .......................... ~ 0.23ms
  2026-04-11 01:52:52 /favicon.ico ................................. ~ 0.10ms
  2026-04-11 01:52:53 /dashboard ................................... ~ 0.38ms
  2026-04-11 01:52:53 /assets/index-SqVu8V5Q.js .................... ~ 0.07ms
  2026-04-11 01:52:53 /assets/index-BSJNj5r9.css ................... ~ 0.06ms
  2026-04-11 01:52:53 /api/v1/me ................................... ~ 0.05ms
  2026-04-11 01:52:54 /favicon.ico ................................. ~ 0.11ms
  2026-04-11 01:52:54 /api/v1/admin/stats .......................... ~ 0.07ms
  2026-04-11 01:52:55 /api/v1/admin/payments/pending ............... ~ 0.24ms
  2026-04-11 01:52:56 /api/v1/admin/users .......................... ~ 0.25ms
  2026-04-11 01:53:31 /dashboard ................................... ~ 1.55ms
  2026-04-11 01:53:31 /assets/index-KmBxd1Mf.js .................... ~ 0.13ms
  2026-04-11 01:53:31 /assets/index-BTguRHs6.css ................... ~ 0.09ms
  2026-04-11 01:53:31 /api/v1/me ................................... ~ 0.08ms
  2026-04-11 01:53:31 /favicon.ico ................................. ~ 0.17ms
  2026-04-11 01:53:31 /api/v1/admin/stats .......................... ~ 0.09ms
  2026-04-11 01:53:36 /api/v1/admin/settings ....................... ~ 0.20ms
  2026-04-11 01:53:46 /api/v1/admin/rubrics ........................ ~ 0.64ms
  2026-04-11 01:53:50 /api/v1/admin/payments/pending ............... ~ 0.29ms
  2026-04-11 01:53:51 /api/v1/admin/users .......................... ~ 0.55ms
  2026-04-11 01:53:59 /api/v1/admin/users/2/role ................... ~ 0.25ms
  2026-04-11 01:53:59 /api/v1/admin/users .......................... ~ 0.12ms
  2026-04-11 01:54:18 /api/v1/admin/payments/pending ............... ~ 1.29ms
  2026-04-11 01:54:19 /api/v1/admin/users .......................... ~ 0.28ms
  2026-04-11 01:54:20 /api/v1/admin/rubrics ........................ ~ 0.24ms
  2026-04-11 01:54:21 /api/v1/admin/stats .......................... ~ 0.33ms
  2026-04-11 01:54:22 /api/v1/admin/users .......................... ~ 0.26ms
  2026-04-11 01:54:30 /api/v1/admin/stats .......................... ~ 0.79ms
  2026-04-11 01:54:31 /api/v1/admin/settings ....................... ~ 0.22ms
  2026-04-11 01:54:33 /api/v1/admin/rubrics ...................... ~ 502.79ms
  2026-04-11 01:54:33 /api/v1/admin/payments/pending ............... ~ 0.25ms
  2026-04-11 01:54:34 /api/v1/admin/users .......................... ~ 0.26ms
  2026-04-11 01:56:55 /api/v1/admin/stats ........................ ~ 505.44ms
  2026-04-11 01:56:57 /dashboard ................................... ~ 1.22ms
  2026-04-11 01:56:57 /assets/index-KmBxd1Mf.js .................... ~ 0.12ms
  2026-04-11 01:56:57 /assets/index-BTguRHs6.css ................... ~ 0.06ms
  2026-04-11 01:56:57 /api/v1/me ................................... ~ 0.18ms
  2026-04-11 01:56:57 /favicon.ico ............................... ~ 504.23ms
  2026-04-11 01:56:57 /api/v1/admin/stats .......................... ~ 0.12ms
  2026-04-11 01:57:01 /api/v1/admin/settings ....................... ~ 0.24ms
  2026-04-11 01:57:02 /api/v1/admin/rubrics ........................ ~ 0.75ms
  2026-04-11 01:57:03 /api/v1/admin/payments/pending ............... ~ 0.25ms
  2026-04-11 01:57:04 /api/v1/admin/users .......................... ~ 0.12ms
  2026-04-11 01:57:05 /api/v1/admin/stats .......................... ~ 0.32ms
  2026-04-11 01:57:07 /api/v1/admin/settings ....................... ~ 0.31ms
  2026-04-11 01:57:09 /api/v1/admin/rubrics ........................ ~ 0.91ms
  2026-04-11 01:57:10 /api/v1/admin/payments/pending ............... ~ 0.26ms
  2026-04-11 01:57:11 /api/v1/admin/users .......................... ~ 0.19ms
  2026-04-11 01:57:12 /api/v1/admin/stats .......................... ~ 0.12ms
  2026-04-11 01:57:22 /dashboard ................................... ~ 0.12ms
  2026-04-11 01:57:22 /assets/index-KmBxd1Mf.js .................... ~ 0.08ms
  2026-04-11 01:57:22 /assets/index-BTguRHs6.css ................... ~ 0.37ms
  2026-04-11 01:57:22 /api/v1/me ................................... ~ 0.05ms
  2026-04-11 01:57:22 /favicon.ico ............................... ~ 504.64ms
  2026-04-11 01:57:22 /api/v1/admin/stats .......................... ~ 0.14ms
  2026-04-11 01:57:23 /api/v1/admin/settings ....................... ~ 0.59ms
  2026-04-11 01:57:25 /api/v1/admin/rubrics ........................ ~ 0.26ms
  2026-04-11 01:57:25 /api/v1/admin/payments/pending ............... ~ 0.24ms
  2026-04-11 01:57:26 /api/v1/admin/users .......................... ~ 0.14ms
  2026-04-11 01:57:40 /api/v1/portfolios ........................... ~ 0.53ms
  2026-04-11 01:57:40 /favicon.ico ................................. ~ 0.19ms
  2026-04-11 01:58:10 /api/v1/portfolios ......................... ~ 506.67ms
  2026-04-11 01:59:53 /dashboard ................................... ~ 2.47ms
  2026-04-11 01:59:53 /assets/index-BwL_MV_W.js .................... ~ 0.13ms
  2026-04-11 01:59:53 /assets/index-LaLrFLlG.css ................... ~ 0.44ms
  2026-04-11 01:59:53 /api/v1/me ................................... ~ 0.06ms
  2026-04-11 01:59:53 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 01:59:53 /api/v1/admin/stats ........................ ~ 504.67ms
  2026-04-11 01:59:56 /api/v1/admin/stats .......................... ~ 0.22ms
  2026-04-11 01:59:57 /api/v1/admin/stats .......................... ~ 0.71ms
  2026-04-11 01:59:58 /api/v1/admin/stats .......................... ~ 0.26ms
  2026-04-11 02:00:01 /api/v1/admin/stats .......................... ~ 0.86ms
  2026-04-11 02:00:03 /api/v1/admin/stats .......................... ~ 0.24ms
  2026-04-11 02:00:06 /api/v1/admin/stats .......................... ~ 0.49ms
  2026-04-11 02:00:08 /api/v1/admin/stats .......................... ~ 0.58ms
  2026-04-11 02:00:10 /api/v1/admin/stats ........................ ~ 503.29ms
  2026-04-11 02:00:11 /api/v1/admin/stats .......................... ~ 0.28ms
  2026-04-11 02:00:13 /dashboard ................................... ~ 0.56ms
  2026-04-11 02:00:13 /assets/index-BwL_MV_W.js .................... ~ 0.15ms
  2026-04-11 02:00:13 /assets/index-LaLrFLlG.css ................... ~ 1.21ms
  2026-04-11 02:00:13 /api/v1/me ................................... ~ 0.08ms
  2026-04-11 02:00:13 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 02:00:13 /api/v1/admin/stats .......................... ~ 0.08ms
  2026-04-11 02:05:24 /dashboard ................................. ~ 505.43ms
  2026-04-11 02:05:24 /assets/index-BwL_MV_W.js .................... ~ 0.12ms
  2026-04-11 02:05:24 /assets/index-LaLrFLlG.css ................... ~ 0.48ms
  2026-04-11 02:05:24 /api/v1/me ................................... ~ 0.10ms
  2026-04-11 02:05:24 /favicon.ico ................................. ~ 0.59ms
  2026-04-11 02:05:25 /api/v1/admin/stats .......................... ~ 0.06ms
  2026-04-11 02:05:26 /api/v1/admin/stats .......................... ~ 0.11ms
  2026-04-11 02:05:27 /api/v1/admin/stats .......................... ~ 0.46ms
  2026-04-11 02:05:28 /api/v1/admin/stats .......................... ~ 0.25ms
  2026-04-11 02:06:43 /dashboard ................................... ~ 3.94ms
  2026-04-11 02:06:43 /assets/index-DJlyLcOO.js .................... ~ 0.12ms
  2026-04-11 02:06:43 /assets/index-4Ogo9Puj.css ................... ~ 0.22ms
  2026-04-11 02:06:43 /api/v1/me ................................... ~ 0.10ms
  2026-04-11 02:06:43 /favicon.ico ............................... ~ 504.49ms
  2026-04-11 02:06:43 /api/v1/admin/stats .......................... ~ 0.25ms
  2026-04-11 02:06:46 /api/v1/admin/stats .......................... ~ 0.23ms
  2026-04-11 02:07:32 /api/v1/admin/settings ....................... ~ 1.14ms
  2026-04-11 02:07:47 /api/v1/admin/settings ....................... ~ 0.52ms
  2026-04-11 02:08:26 /dashboard ................................. ~ 504.71ms
  2026-04-11 02:08:26 /assets/index-DJlyLcOO.js .................... ~ 0.12ms
  2026-04-11 02:08:26 /assets/index-4Ogo9Puj.css ................... ~ 0.49ms
  2026-04-11 02:08:26 /api/v1/me ................................... ~ 0.07ms
  2026-04-11 02:08:26 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 02:08:26 /api/v1/admin/stats .......................... ~ 0.07ms
  2026-04-11 02:08:27 /api/v1/admin/stats .......................... ~ 0.19ms
  2026-04-11 02:08:43 /api/v1/admin/settings ..................... ~ 503.56ms
  2026-04-11 02:08:48 /api/v1/admin/settings ..................... ~ 504.36ms
  2026-04-11 02:08:59 /portfolios .................................. ~ 1.72ms
  2026-04-11 02:09:00 /assets/index-4Ogo9Puj.css ................... ~ 0.07ms
  2026-04-11 02:09:00 /assets/index-DJlyLcOO.js .................... ~ 0.45ms
  2026-04-11 02:09:01 /api/v1/me ................................... ~ 0.15ms
  2026-04-11 02:09:01 /api/v1/admin/stats ........................ ~ 505.96ms
  2026-04-11 02:09:02 /favicon.ico ................................. ~ 0.10ms
  2026-04-11 02:09:02 /favicon.ico ................................. ~ 0.10ms
  2026-04-11 02:09:03 /api/v1/admin/stats ........................ ~ 504.13ms
  2026-04-11 02:09:08 /api/v1/admin/stats .......................... ~ 0.20ms
  2026-04-11 02:09:09 /api/v1/admin/stats ........................ ~ 504.14ms
  2026-04-11 02:09:10 /api/v1/admin/stats ........................ ~ 504.41ms
  2026-04-11 02:09:16 /dashboard ................................... ~ 0.78ms
  2026-04-11 02:09:16 /assets/index-DJlyLcOO.js .................... ~ 0.43ms
  2026-04-11 02:09:16 /assets/index-4Ogo9Puj.css ................... ~ 1.48ms
  2026-04-11 02:09:16 /api/v1/me ................................... ~ 0.10ms
  2026-04-11 02:09:16 /api/v1/admin/stats .......................... ~ 0.13ms
  2026-04-11 02:09:17 /favicon.ico ................................. ~ 0.11ms
  2026-04-11 02:10:55 /dashboard ................................... ~ 3.67ms
  2026-04-11 02:10:55 /assets/index-BhpuaiRY.js .................... ~ 0.18ms
  2026-04-11 02:10:55 /assets/index-D9e1xfy1.css ................... ~ 0.06ms
  2026-04-11 02:10:56 /api/v1/me ................................. ~ 501.82ms
  2026-04-11 02:10:56 /favicon.ico ................................. ~ 0.10ms
  2026-04-11 02:10:56 /api/v1/admin/stats ........................ ~ 504.93ms
  2026-04-11 02:10:57 /api/v1/admin/stats .......................... ~ 0.18ms
  2026-04-11 02:11:00 /api/v1/admin/stats .......................... ~ 0.27ms
  2026-04-11 02:11:01 /api/v1/admin/stats .......................... ~ 0.38ms
  2026-04-11 02:11:04 /api/v1/admin/stats .......................... ~ 0.69ms
  2026-04-11 02:11:05 /dashboard ................................... ~ 0.16ms
  2026-04-11 02:11:05 /assets/index-BhpuaiRY.js .................... ~ 0.08ms
  2026-04-11 02:11:05 /assets/index-D9e1xfy1.css ................... ~ 0.07ms
  2026-04-11 02:11:05 /api/v1/me ................................... ~ 0.06ms
  2026-04-11 02:11:05 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 02:11:05 /api/v1/admin/stats .......................... ~ 0.05ms
  2026-04-11 02:11:07 /api/v1/admin/stats .......................... ~ 0.15ms
  2026-04-11 02:11:08 /api/v1/admin/stats .......................... ~ 0.23ms
  2026-04-11 02:11:09 /api/v1/admin/stats ........................ ~ 504.78ms
  2026-04-11 02:11:52 /dashboard ................................... ~ 3.12ms
  2026-04-11 02:11:52 /assets/index-D9e1xfy1.css ................... ~ 0.13ms
  2026-04-11 02:11:52 /assets/index-BhpuaiRY.js .................... ~ 0.88ms
  2026-04-11 02:11:52 /api/v1/me ................................. ~ 545.04ms
  2026-04-11 02:11:53 /api/v1/admin/stats ........................ ~ 504.89ms
  2026-04-11 02:11:53 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 02:12:30 /dashboard ................................. ~ 505.29ms
  2026-04-11 02:12:30 /assets/index-BEgPY8zn.js .................... ~ 0.21ms
  2026-04-11 02:12:30 /assets/index-4eZUwWHl.css ................... ~ 1.44ms
  2026-04-11 02:12:30 /api/v1/me ................................... ~ 0.09ms
  2026-04-11 02:12:30 /favicon.ico ................................. ~ 0.14ms
  2026-04-11 02:12:30 /api/v1/admin/stats .......................... ~ 0.11ms
  2026-04-11 02:12:35 /api/v1/admin/stats .......................... ~ 0.12ms
  2026-04-11 02:12:36 /api/v1/admin/stats .......................... ~ 0.24ms
  2026-04-11 02:12:37 /api/v1/admin/stats .......................... ~ 0.15ms
  2026-04-11 02:12:38 /api/v1/admin/stats .......................... ~ 0.18ms
  2026-04-11 02:12:43 /api/v1/admin/stats ........................ ~ 503.30ms
  2026-04-11 02:12:45 /api/v1/admin/stats .......................... ~ 0.15ms
  2026-04-11 02:12:47 /api/v1/admin/stats .......................... ~ 0.18ms
  2026-04-11 02:12:47 /api/v1/admin/stats ........................ ~ 503.46ms
  2026-04-11 02:12:55 /dashboard .................................. ~ 23.48ms
  2026-04-11 02:12:55 /assets/index-BEgPY8zn.js .................... ~ 0.16ms
  2026-04-11 02:12:55 /assets/index-4eZUwWHl.css ................... ~ 0.72ms
  2026-04-11 02:12:56 /api/v1/me ................................... ~ 0.18ms
  2026-04-11 02:12:56 /favicon.ico ................................. ~ 0.17ms
  2026-04-11 02:12:56 /api/v1/admin/stats ........................ ~ 500.67ms
  2026-04-11 02:13:00 /api/v1/logout ............................... ~ 0.26ms
  2026-04-11 02:13:00 /api/v1/captcha .............................. ~ 0.15ms
  2026-04-11 02:13:00 /favicon.ico ................................ ~ 73.39ms
  2026-04-11 02:13:00 /api/v1/captcha .............................. ~ 0.23ms
  2026-04-11 02:15:01 /login ..................................... ~ 558.05ms
  2026-04-11 02:15:01 /favicon.ico ............................... ~ 503.69ms
  2026-04-11 02:15:26 /dashboard ................................... ~ 0.36ms
  2026-04-11 02:15:26 /assets/index-BerdXUjW.js .................... ~ 0.09ms
  2026-04-11 02:15:26 /assets/index-D3MehvR3.css ................... ~ 0.44ms
  2026-04-11 02:15:27 /api/v1/me ................................. ~ 502.78ms
  2026-04-11 02:15:27 /favicon.ico ................................. ~ 0.08ms
  2026-04-11 02:15:27 /api/v1/admin/stats .......................... ~ 0.07ms
  2026-04-11 02:15:28 /api/v1/admin/stats ........................ ~ 503.97ms
  2026-04-11 02:15:31 /login ....................................... ~ 0.28ms
  2026-04-11 02:15:31 /favicon.ico ............................... ~ 504.40ms
  2026-04-11 02:15:34 /login ...................................... ~ 15.10ms
  2026-04-11 02:15:34 /favicon.ico ............................... ~ 501.85ms
  2026-04-11 02:15:38 / ............................................ ~ 0.12ms
  2026-04-11 02:15:38 /assets/index-BerdXUjW.js .................... ~ 0.09ms
  2026-04-11 02:15:38 /assets/index-D3MehvR3.css ................... ~ 0.39ms
  2026-04-11 02:15:38 /favicon.ico ................................. ~ 0.22ms
  2026-04-11 02:15:46 /api/v1/login ................................ ~ 1.33ms
  2026-04-11 02:15:55 /api/v1/login ................................ ~ 0.39ms
  2026-04-11 02:17:42 /dashboard ................................. ~ 503.75ms
  2026-04-11 02:17:42 /assets/index-D3MehvR3.css ................... ~ 0.15ms
  2026-04-11 02:17:42 /assets/index-BerdXUjW.js .................... ~ 0.85ms
  2026-04-11 02:17:42 /api/v1/me ................................... ~ 0.08ms
  2026-04-11 02:17:42 /favicon.ico ................................. ~ 0.08ms
  2026-04-11 02:17:42 /api/v1/simulations .......................... ~ 0.08ms
  2026-04-11 02:17:44 /dashboard ................................... ~ 0.12ms
  2026-04-11 02:17:44 /assets/index-BerdXUjW.js .................... ~ 0.06ms
  2026-04-11 02:17:44 /assets/index-D3MehvR3.css ................... ~ 0.05ms
  2026-04-11 02:17:44 /api/v1/me ................................... ~ 0.15ms
  2026-04-11 02:17:44 /favicon.ico ................................. ~ 0.24ms
  2026-04-11 02:17:44 /api/v1/simulations .......................... ~ 0.07ms
  2026-04-11 02:17:47 / ............................................ ~ 0.11ms
  2026-04-11 02:17:47 /assets/index-BerdXUjW.js .................. ~ 503.12ms
  2026-04-11 02:17:47 /assets/index-D3MehvR3.css ................... ~ 0.12ms
  2026-04-11 02:17:47 /api/v1/me ................................... ~ 0.10ms
  2026-04-11 02:17:47 /favicon.ico ................................. ~ 0.11ms
  2026-04-11 02:17:47 /api/v1/simulations .......................... ~ 0.17ms
  2026-04-11 02:17:47 /favicon.ico ................................. ~ 0.86ms
  2026-04-11 02:17:49 /dashboard ................................... ~ 0.35ms
  2026-04-11 02:17:49 /assets/index-BerdXUjW.js .................... ~ 0.06ms
