
   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server
  2026-04-10 23:50:24 /favicon.ico ................................. ~ 0.20ms
  2026-04-10 23:50:24 /api/v1/captcha .............................. ~ 0.18ms
  2026-04-10 23:50:24 /favicon.ico ............................... ~ 502.48ms
  2026-04-10 23:50:31 /api/v1/login ................................ ~ 0.31ms
  2026-04-10 23:50:31 /api/v1/captcha .............................. ~ 0.12ms
  2026-04-10 23:50:47 /api/v1/login ................................ ~ 0.53ms
  2026-04-10 23:50:47 /api/v1/captcha ............................ ~ 504.37ms
  2026-04-10 23:53:06 /api/v1/login ................................ ~ 2.80ms
  2026-04-10 23:53:06 /api/v1/captcha .............................. ~ 0.06ms
  2026-04-10 23:53:11 /api/v1/login ................................ ~ 0.22ms
  2026-04-10 23:53:12 /api/v1/captcha .............................. ~ 0.06ms
  2026-04-10 23:54:52 /api/v1/login .............................. ~ 503.00ms
  2026-04-10 23:54:52 /api/v1/captcha .............................. ~ 0.05ms
  2026-04-10 23:55:09 /api/v1/login ................................ ~ 0.14ms
  2026-04-10 23:55:09 /api/v1/captcha .............................. ~ 0.07ms
  2026-04-10 23:55:29 /dashboard ................................. ~ 504.55ms
  2026-04-10 23:55:29 /favicon.ico ..................................... ~ 1s
  2026-04-10 23:55:38 /logout ...................................... ~ 6.92ms
  2026-04-10 23:55:38 /login ....................................... ~ 0.36ms
  2026-04-10 23:55:38 /favicon.ico ................................. ~ 0.13ms
  2026-04-10 23:55:52 /login ....................................... ~ 0.73ms
  2026-04-10 23:55:52 /login ....................................... ~ 0.07ms
  2026-04-10 23:55:53 /favicon.ico ................................. ~ 0.53ms
  2026-04-10 23:56:34 /login ....................................... ~ 0.48ms
  2026-04-10 23:56:34 /login ....................................... ~ 0.12ms
  2026-04-10 23:56:35 /favicon.ico ................................. ~ 0.30ms
  2026-04-10 23:57:55 /login ....................................... ~ 2.24ms
  2026-04-10 23:57:55 /favicon.ico ................................. ~ 0.06ms
  2026-04-10 23:58:04 /login ....................................... ~ 0.22ms
  2026-04-10 23:58:05 /dashboard ................................... ~ 0.08ms
  2026-04-10 23:58:05 /favicon.ico ................................. ~ 0.18ms
  2026-04-10 23:58:08 /favicon.ico ................................. ~ 1.21ms
  2026-04-10 23:58:20 /login ..................................... ~ 502.31ms
  2026-04-10 23:58:21 /dashboard ................................... ~ 0.29ms
  2026-04-10 23:58:21 /favicon.ico ................................. ~ 0.33ms
  2026-04-10 23:59:31 /dashboard ................................. ~ 512.69ms
  2026-04-10 23:59:31 /favicon.ico ............................... ~ 504.18ms
  2026-04-10 23:59:34 /dashboard ................................... ~ 0.26ms
  2026-04-10 23:59:34 /favicon.ico ............................... ~ 502.46ms
  2026-04-10 23:59:36 /favicon.ico ................................. ~ 0.25ms
  2026-04-10 23:59:41 /dashboard ................................... ~ 1.49ms
  2026-04-10 23:59:41 /favicon.ico ............................... ~ 505.66ms
  2026-04-11 00:00:45 /dashboard ................................... ~ 7.64ms
  2026-04-11 00:00:45 /assets/index-DR89kFEU.css ................... ~ 0.42ms
  2026-04-11 00:00:45 /assets/index-BE2xzawI.js ................... ~ 10.62ms
  2026-04-11 00:00:45 /api/v1/captcha ............................ ~ 510.79ms
  2026-04-11 00:00:45 /favicon.ico ................................. ~ 0.23ms
  2026-04-11 00:00:59 /api/v1/login .............................. ~ 516.78ms
  2026-04-11 00:01:00 /api/v1/dashboard/dosen ...................... ~ 0.09ms
  2026-04-11 00:01:00 /favicon.ico ................................. ~ 0.12ms
  2026-04-11 00:01:07 /favicon.ico ................................. ~ 0.16ms
  2026-04-11 00:01:13 /api/v1/portfolios ........................... ~ 0.48ms
  2026-04-11 00:01:13 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 00:01:15 /api/v1/payments ............................. ~ 0.14ms
  2026-04-11 00:01:15 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 00:01:23 /api/v1/dashboard/dosen ...................... ~ 0.85ms
  2026-04-11 00:01:23 /favicon.ico ............................... ~ 503.58ms
  2026-04-11 00:01:30 /favicon.ico ................................. ~ 0.97ms
  2026-04-11 00:01:40 /api/v1/dashboard/dosen ...................... ~ 0.16ms
  2026-04-11 00:01:40 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 00:01:50 /dashboard ................................... ~ 3.09ms
  2026-04-11 00:01:50 /favicon.ico ................................. ~ 0.08ms
  2026-04-11 00:01:52 /dashboard ................................... ~ 0.12ms
  2026-04-11 00:01:52 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 00:01:55 /dashboard ................................... ~ 0.16ms
  2026-04-11 00:01:55 /favicon.ico ................................. ~ 0.10ms
